category,datetime,headline,id,image,related,source,summary,url
company,1776965958,Former Disney CEO Bob Iger returns to Thrive Capital,139869146,,DIS,Finnhub,"Former Disney ChiefExecutive Bob Iger is back at Thrive Capital, founder JoshKushner said on Thursday. Bob leads with boldness and conviction because he knowswhat he is building and...",https://finnhub.io/api/news?id=3a6bc85a59402088fc4494fdd5bcfc45ba290b063fd18e552345c88f49fb9807
company,1776933607,The Walt Disney Company (DIS) PT Reduced to $130 as Barclays Reassesses Media Sector Outlook,139859985,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"We recently compiled a list of the 10 Most Undervalued Dow Stocks to Buy Now. The Walt Disney Company is among the most undervalued stocks on this list. TheFly reported on April 8 that Barclays revised its outlook on DIS, reducing its price target to $130 from $140 while maintaining an Overweight rating on the […]",https://finnhub.io/api/news?id=9433f78e5f4891b81a08222eaefb72817975c4c7ef95dfc355536598d1655f48
company,1776927844,"Comcast beats revenue, earnings expectations as broadband losses improve ",139865557,https://image.cnbcfm.com/api/v1/image/108291902-1776271938523-gettyimages-2257538298-img_6716.jpeg?v=1776271965&w=1920&h=1080,DIS,CNBC,Comcast’s first-quarter earnings were lifted by NBC’s sports slate in February as well as fewer broadband customer losses than prior quarters.,https://finnhub.io/api/news?id=2e6c97290b7c6356869af75e5b3ba45e72691f28f380580bd1c81e62724ba2b1
