category,datetime,headline,id,image,related,source,summary,url
company,1776982502,Autodesk (ADSK) Falls More Steeply Than Broader Market: What Investors Need to Know,139870653,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADSK,Yahoo,"Autodesk (ADSK) closed the most recent trading day at $231.98, moving 6.3% from the previous trading session.",https://finnhub.io/api/news?id=d3d4f74e728ec77ab9d38e91a064b6d2f47d31ace3eb49afa6f7efa521c5f692
company,1776955569,Shares of companies in the broader software sector are trading lower amid a pullback in sentiment after Q1 financial results and outlook comments from industry peers IBM and ServiceNow.,139867196,,ADSK,Benzinga,,https://finnhub.io/api/news?id=c4542b3d5884690099229440ed7b0e819d4422abf345683f638d655bdbea81cf
