category,datetime,headline,id,image,related,source,summary,url
company,1776953123,"TDY Q1 Deep Dive: Defense and Imaging Segments Drive Outperformance, Guidance Raised",139864571,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"Digital imaging and instrumentation provider Teledyne (NYSE:TDY) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 7.6% year on year to $1.56 billion. Its non-GAAP profit of $5.80 per share was 6% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=ec1faa099d7a979e4fd25852207d258f691e7caa8231742b1a46c32e2a43f7ab
company,1776952994,Why The Teledyne Technologies (TDY) Story Is Shifting With New Targets And Guidance,139864572,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"Teledyne Technologies is back on investors’ radar after a modestly higher modeled fair value, with the target shifting from US$701.85 to US$705.23. That fine tuning lines up with recent Street commentary, where analysts have refreshed their models around the Q4 beat, initial 2026 guidance, and new annual filing, while some firms have raised targets across a broad US$600 to US$770 range. As you read on, you will see how these revised targets fit into the evolving story and what to watch as the...",https://finnhub.io/api/news?id=cf81d08cd2559322aed406fcf4e56a34c9967db00b3885517d69dc01a346959a
company,1776944881,"Stifel Maintains Buy on Teledyne Technologies, Raises Price Target to $750",139869159,,TDY,Benzinga,Stifel  analyst Jonathan Siegmann   maintains Teledyne Technologies (NYSE:TDY) with a Buy and raises the price target from $720 to $750.,https://finnhub.io/api/news?id=fc3667b90135b8c46db1e2cac33e06a51a3c8b299acb20efcb127cb8e029e712
